,,,,,,,,,,,,Collateral Details,Plate Number,Financier
,,,,,,,,,,,,Nissan Xtrail Xt 2.5 At 2007,F1207ML,Modalku
,,,,,,,,,,,,Toyota Vellfire 2.4 Z Premium Sound 2011,P1864XU,Modalku
,,,,,,,,,,,,Honda Crv Re1 2Wd 2.0Atckd 2010,B2527UBL,Modalku
,,,,,,,,,,,,Toyota Alphard 2.5 G At 2017,L1438ACN,Modalku
,,,,,,,,,,,,Kia Rio A/T 2014,B1912URU,Modalku
,,,,,,,,,,,,Daihatsu New Xenia 1.0 M Mt 2011,BG1714RD,Modalku
,,,,,,,,,,,,Toyota Innova V M/T Bensin 2018,B1453VOJ,Modalku
,,,,,,,,,,,,Honda Brv 1.5 E Cvt Ckd 2016,F1607NH,Modalku
,,,,,,,,,,,,Wuling Confero 1.5 Db 2021,B1974VOS,Modalku
,,,,,,,,,,,,Honda Hr-V 1.5 E Cvt 2018,N1503ACW,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 Exc 2021,DD1865MM,Modalku
,,,,,,,,,,,,Toyota Alphard 2.5 G At 2014,B1999ADL,Modalku
,,,,,,,,,,,,Toyota Alphard 2.5 G At 2015,B1445CKT,BSS
,,,,,,,,,,,,Suzuki Ertiga Gl At Dbl Blwr 2013,B1699TYD,Akseleran
,,,,,,,,,,,,Honda Brio Satya S Mt 2015,H1083GQ,Akseleran
,,,,,,,,,,,,Honda Mobilio E-Cvt 2016,B2137VBD,Akseleran
,,,,,,,,,,,,Toyota Grand New Avanza G At 2015,B2432BFQ,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2018,B2691KKV,Akseleran
,,,,,,,,,,,,Lexus Rx 270 Std At Lexus Rx 270 Std At Lexus Rx 270 Std At 2013,B451DAA,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 E 2016,B2542SON,Modalku
,,,,,,,,,,,,Mazda New Mazda 2 R 1.5 A/T 2015,AA1505E,Akseleran
,,,,,,,,,,,,Toyota Grand New Avanza 1.3G Mt 2017,B1832JUU,Modalku
,,,,,,,,,,,,Range Rover V8 4.4 At 2004,B1825RFP,Modalku
,,,,,,,,,,,,Daihatsu Great New Xenia X Mt Std 2016,BG1770UI,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R At 2018,B1636ERL,Akseleran
,,,,,,,,,,,,Toyota Calya 1.2 G At 2016,L1932ES,Modalku
,,,,,,,,,,,,Daihatsu Ayla M Mt 2016,B1809FRQ,Modalku
,,,,,,,,,,,,Suzuki Apv Gl Std 1.5 M/T 2015,B1645PRX,Modalku
,,,,,,,,,,,,Chevrolet Captiva Dsl2.0 Lat 2014,L1282NH,Modalku
,,,,,,,,,,,,Daihatsu Daihatsu Sigra M Mt 1.0 Sigra M Mt 1.0 2023,B2434KIZ,Modalku
,,,,,,,,,,,,Honda Crv Re1 2Wd 2.0Atckd 2013,B1675SJI,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2017,S1949JD,Akseleran
,,,,,,,,,,,,Toyota Calya 1.2 G 2021,B1643EZB,Modalku
,,,,,,,,,,,,Honda New Crv 2.0 A/T Dohc 2013,B1067ELT,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2014,B2221TBO,Modalku
,,,,,,,,,,,,"Honda Crv Re1 2Wd 2,4 At 2010",B2477KLP,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 Q Cvt 2017,B1042PIG,Modalku
,,,,,,,,,,,,Chevrolet Captiva Dsl2.0 Lat 2013,B1694JUE,Akseleran
,,,,,,,,,,,,Nissan Livina Xgear 1.5 M/T 2009,N1552ABL,Akseleran
,,,,,,,,,,,,Suzuki Ertiga Gl M/T 2017,BK1500ES,Modalku
,,,,,,,,,,,,Honda Jazz Idsi A/T 2008,B8063ND,Akseleran
,,,,,,,,,,,,Suzuki Apv X 1.5 Mt 2005,Z1783DG,Akseleran
,,,,,,,,,,,,Suzuki Ertiga Gl A/T 2017,B2655TZJ,Modalku
,,,,,,,,,,,,Toyota Rush G Vvti 1.5 M/T 2009,DK1013AV,Akseleran
,,,,,,,,,,,,Suzuki Ertiga Gx A/T 2018,BP1584MO,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Diesel 2019,D1032VBW,Modalku
,,,,,,,,,,,,Daihatsu Great New Xenia R Mt Std 2016,B2358SKV,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gl At Dbl Blwr 2016,B1589WOI,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Dakar 4X4 At 2016,BM1234SS,Modalku
,,,,,,,,,,,,Daihatsu Great New Xenia X Mt Std 2016,B2604BKX,Modalku
,,,,,,,,,,,,Honda Crv Rm1 2Wd 2.0 At 2013,E1751DU,Modalku
,,,,,,,,,,,,Toyota Fortuner G 2.7 Luxury At 2006,F1336OM,Modalku
,,,,,,,,,,,,Toyota Innova 2.5 Diesel G/Mt 2.5 G 2007,BK1413RC,Modalku
,,,,,,,,,,,,Toyota New Avanza E 1.3 At 2014,B1279PRO,Akseleran
,,,,,,,,,,,,Daihatsu Sirion M Rs Mt Daihatsu Sirion M Rs Mt Sirion M Rs Mt 2007,B1893KYH,Modalku
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2010,B1130SKP,Modalku
,,,,,,,,,,,,Daihatsu New Xenia 1.3R Mt Dlx 2015,A1349PF,Modalku
,,,,,,,,,,,,Toyota Yaris Heykers 1.5 2017,Z1246HAW,Modalku
,,,,,,,,,,,,Daihatsu Ayla X Mt 2013,B1706PZT,Modalku
,,,,,,,,,,,,Mercedes Benz Passengers C 280 2008,D1802VCL,Modalku
,,,,,,,,,,,,Toyota New Yaris 1.5S.L/Attrd 2017,B1563EOW,BSS
,,,,,,,,,,,,Honda Mobilio S M/T 2018,N1549ACI,Modalku
,,,,,,,,,,,,Suzuki Swift St 1.5 A/T 2010,N1175BB,Modalku
,,,,,,,,,,,,Daihatsu Sirion All New 1.3At 2017,B1576VKY,Modalku
,,,,,,,,,,,,Mitsubishi Outlander Px A/T 2013,BG1251UW,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza 1.3G Mt 2015,B2208TFG,Modalku
,,,,,,,,,,,,Tata Xenon Xt 2.2 Dc 4X4 Diesel 2019,KT8435YN,Modalku
,,,,,,,,,,,,Honda Jazz Rs At 2009,AB1949PQ,Modalku
,,,,,,,,,,,,Toyota Innova Venture 2.0 At 2018,AE1244JU,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.5 At 2016,BP1837JD,Modalku
,,,,,,,,,,,,Lexus Rx270 2.7 Sunroof 2011,B36MIR,Modalku
,,,,,,,,,,,,Honda Brio E A/T 2013,B1442SMA,Akseleran
,,,,,,,,,,,,Honda Brio E A/T 2015,F1627BW,Modalku
,,,,,,,,,,,,Daihatsu Luxio Luxio 1.5 X At 2018,H1691HG,Modalku
,,,,,,,,,,,,Toyota Etios Valco E 1.2 Mt 2013,A1569AN,Modalku
,,,,,,,,,,,,Daihatsu Taruna Fgx 1.5 Mt 2004,G1454GH,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.3 At 2016,BG1791LW,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R 2017,B2063KFU,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2009,N1025XJ,Modalku
,,,,,,,,,,,,Toyota Alphard 2.4 At 2005,B2199UBI,Akseleran
,,,,,,,,,,,,Suzuki Apv Gx Arena 1.5 A/T 2013,BP1632FO,Modalku
,,,,,,,,,,,,Honda Civic Hb1.5 E Cvttrb 2018,A1403AYU,Modalku
,,,,,,,,,,,,Toyota Kijang Kf71 Mt 2001,H1607HN,Modalku
,,,,,,,,,,,,"Toyota New Camry V 2,5 A/T 2017",B1411FAB,Modalku
,,,,,,,,,,,,Toyota Voxy 2.0L At Cbu 2019,B2311NT,Modalku
,,,,,,,,,,,,Bmw 323I At At 2000,B2165SXE,Modalku
,,,,,,,,,,,,Suzuki New Splash 1.2 M/T 2014,B1110SME,Modalku
,,,,,,,,,,,,Daihatsu Gran Max Gran Max 1.5 Acps 2017,D8147FD,Modalku
,,,,,,,,,,,,Daihatsu Gran Max 1.3M/T D Std 2015,B2959TFK,Modalku
,,,,,,,,,,,,Honda Mobilio S M/T 2021,BE1370AAL,Modalku
,,,,,,,,,,,,Nissan New Xtrail 2.5 Cvt 2015,B1226VKI,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G Trd 2013,BP1842GC,Modalku
,,,,,,,,,,,,Toyota Alphard 2.4 G 2012,B127ASL,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2009,F1184ABD,Akseleran
,,,,,,,,,,,,Honda Mobilio Ecvtprestige 2014,L1992AW,Akseleran
,,,,,,,,,,,,Toyota Calya 1.2 G 2019,T1153GR,Modalku
,,,,,,,,,,,,Daihatsu Great New Xenia R Mt Std 2017,B2032KVE,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 Ult At 2018,W1092VN,Modalku
,,,,,,,,,,,,Suzuki Grand Vitara Jb 420 Jlx 2Wd At Grand Vitara Jb 420 Jlx 2Wd At 2007,B1626JP,Modalku
,,,,,,,,,,,,Daihatsu New Terios Atdlx 2019,B2089PFW,Modalku
,,,,,,,,,,,,Daihatsu Ayla D + Mt 2015,B1471CKS,Modalku
,,,,,,,,,,,,Suzuki Grand Vitara 2.4 A/T 2010,BP1561MG,Modalku
,,,,,,,,,,,,Honda New Crv 2.4 A/T Dohc 2010,B2693NBA,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2016,B1837EYE,Modalku
,,,,,,,,,,,,Suzuki New Ertiga 1.4 Gl 2018,BM1459VS,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G At Trd 2018,H9032YR,Modalku
,,,,,,,,,,,,Mercedes Benz C230 At C230 At 2007,D1245XGI,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2013,F1149ABR,Modalku
,,,,,,,,,,,,Suzuki Ignis 1.2 Gx 2018,B2591TYA,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.7Gatlxtrdbnsn 2008,B1809GN,Akseleran
,,,,,,,,,,,,Mitsubishi Triton 4X4 Hd X 2019,DA8926PR,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Exc At4X2 2011,W1819ZQ,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.7Srzat Bensin 2019,L1892JR,Modalku
,,,,,,,,,,,,Toyota Avanza Veloz 1.5 At 2019,BP1302DH,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2014,BG1097IQ,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2019,BP1723IQ,Modalku
,,,,,,,,,,,,Toyota All New Veloz 1.5 Q Cvt 2022,B2849POR,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2020,B2855UOP,Modalku
,,,,,,,,,,,,Toyota Altis J M/T M1 2008,BG1231IU,Modalku
,,,,,,,,,,,,Honda Crv Crv Re1 2Wd Crv Re1 2Wd 2.5 At Ckd 2007,AD1050VW,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2016,DK1420LY,Akseleran
,,,,,,,,,,,,Suzuki Futura Minibus 2005,D1723MK,Akseleran
,,,,,,,,,,,,Honda Mobilio E-Cvt 2018,B1871WYP,Modalku
,,,,,,,,,,,,Daihatsu Ayla 1.2 R 2018,A1716BD,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 G 2017,B2102KMR,Modalku
,,,,,,,,,,,,Hyundai Avega At 2008,L1743DAV,Akseleran
,,,,,,,,,,,,Toyota Calya 1.2 G At 2017,B1220PIJ,Modalku
,,,,,,,,,,,,Honda Civic 1.8 L At 2008,B1155UAA,Modalku
,,,,,,,,,,,,Honda Jazz Idsi At 2004,S1733WU,Akseleran
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.3 X 2019,A1861YE,Modalku
,,,,,,,,,,,,Nissan New Xtrail 2.5 Cvt 2016,D1814AEX,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2017,B2156KKA,Modalku
,,,,,,,,,,,,Daihatsu Great New Xenia X Mt Std 2017,B1920FZM,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2009,B2143FMO,Modalku
,,,,,,,,,,,,Suzuki Karimun Karimun 1.0 Manual 2003,N1933AB,Modalku
,,,,,,,,,,,,Lexus Jeep Rx 300 F-Sport 4X2 At 2021,L8ANI,Modalku
,,,,,,,,,,,,Mitsubishi Triton 2.5L Dc Hdx-H 4X4 Mt 2018,KT8643YH,Akseleran
,,,,,,,,,,,,Toyota Crown 3.0 At 2003,L1352AAG,Modalku
,,,,,,,,,,,,Mazda Mazda Mazda 2 S At 2011 2011,B1116PVM,Akseleran
,,,,,,,,,,,,Nissan March 1.2L At 2011,B1530JVJ,Akseleran
,,,,,,,,,,,,Daihatsu Sirion Rs 1.3 At 2007 Sirion Rs 1.3 At 2007 2007,A1120XW,Akseleran
,,,,,,,,,,,,Honda Mobilio E-Cvt 2019,B2937UOF,Modalku
,,,,,,,,,,,,Mitsubishi Pajero Sport Exc 2.5 2011,B722JBU,Modalku
,,,,,,,,,,,,Toyota Vios G At 2007 Vios G At 2007 2007,B1496NBA,Akseleran
,,,,,,,,,,,,Daihatsu New Xenia 1.3 R At 2012,S1585AZ,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.0 M 2019,D1218VBV,Akseleran
,,,,,,,,,,,,Honda Jazz Idsi Jazz 1.5 Idsi Manual 2006,D1805KUH,Akseleran
,,,,,,,,,,,,Toyota Agya 1.2 G Trd 2019,H8653UE,Modalku
,,,,,,,,,,,,Jepp Wrangler 2D3.8L At 4X4 2008,B2383SMH,Modalku
,,,,,,,,,,,,Honda Brio E A/T 2015,B2613TFA,BSS
,,,,,,,,,,,,Hyundai Creta Prime Cvt 2022,B1539DFS,Modalku
,,,,,,,,,,,,Daihatsu New Xenia 1.3 R At 2012,B1236SMT,Akseleran
,,,,,,,,,,,,Mitsubishi Mirage Gls At 2012,W1831QL,Modalku
,,,,,,,,,,,,Honda Jazz Gd3 1.5 Vtec At Jazz Gd3 1.5 Vtec At 2006,B1130KYQ,Modalku
,,,,,,,,,,,,Daihatsu New Terios 1.5 X 2019,B1858CZH,Modalku
,,,,,,,,,,,,Daihatsu Gran Max Bldvn 1.3 Ac 2019,B9406NCH,Modalku
,,,,,,,,,,,,Suzuki Ignis 1.2 Gx 2019,H1922JZ,Modalku
,,,,,,,,,,,,Nissan Grand Livina Xv 1.5 M/T 2008,D1892XGZ,Modalku
,,,,,,,,,,,,Suzuki New Swift Gx Mt 2017,B2526KKD,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx M/T 2013,B1350EYW,Modalku
,,,,,,,,,,,,Daihatsu Ayla X At 2014,B1034NOD,Modalku
,,,,,,,,,,,,Honda Jazz 1.5 E A/T 2013,B1423KYV,Modalku
,,,,,,,,,,,,Honda Mobilio Rs Cvt 2015,W1908TE,Akseleran
,,,,,,,,,,,,Daihatsu Ayla X Mt 2016,BG1217UH,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2010,F1806DK,Modalku
,,,,,,,,,,,,Toyota Avanza G Mt 2006,F1365MP,Modalku
,,,,,,,,,,,,Nissan March 1.2L At 2013,B2755PBF,Modalku
,,,,,,,,,,,,Daihatsu Gran Max Mb 1.3 D Fh 2018,B2566PFR,Modalku
,,,,,,,,,,,,Ford Fiesta 1.4 At Trend 2011,N1377QW,Akseleran
,,,,,,,,,,,,Suzuki Neo Baleno 1.5 M/T 2008,F1179BY,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G Mt 2016,B1620CYH,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza E Mt 2017,B1145PIL,Modalku
,,,,,,,,,,,,Daihatsu Terios 1.5 Tx At Dlx 2013,BP1683FH,Modalku
,,,,,,,,,,,,Daihatsu Xenia Xi Dlx 2007 Xenia Xi Dlx 2007 2007,A1432VS,Akseleran
,,,,,,,,,,,,Toyota Avanza Avanza 1.3 G At 2018,B2329SZT,Modalku
,,,,,,,,,,,,Daihatsu Ayla X Mt 2017,N1651TI,Akseleran
,,,,,,,,,,,,Daihatsu Terios Tx At Mc 2015,B1441TIT,Modalku
,,,,,,,,,,,,Wuling Confero S 1.5 L 2021,B2607BRU,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 A/T 2013,F1579PF,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R At 2023,B1523DKR,Akseleran
,,,,,,,,,,,,Toyota Grand New Avanza E Mt 2020,B1796ZKR,Modalku
,,,,,,,,,,,,Toyota Avanza E M/T 2011,F1635UI,Akseleran
,,,,,,,,,,,,Mitsubishi Pajero Dakar 4X2 At 2013,B2306TBZ,Modalku
,,,,,,,,,,,,Daihatsu Great New Xenia X At Dlx 2016,BG1546OK,Akseleran
,,,,,,,,,,,,Daihatsu Ayla 1.2 R 2020,L1924KK,Modalku
,,,,,,,,,,,,Honda Freed S A/T 2012,B1358BZH,Modalku
,,,,,,,,,,,,Mitsubishi Outlander 2.0 L Px 2012,AD1569FS,Akseleran
,,,,,,,,,,,,Honda Mobilio S M/T 2016,BH1662EC,Modalku
,,,,,,,,,,,,Honda Jazz Ge8 1.5 E At Ckd 2011,N1213FB,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2008,B1046VMU,Modalku
,,,,,,,,,,,,Suzuki Baleno 1.4 Gl At 2019,B2457JUY,Akseleran
,,,,,,,,,,,,Honda Hr-V 1.8 Prest 2017,B2310FVJ,Modalku
,,,,,,,,,,,,Daihatsu Terios X Mt 2016,B913ARS,Modalku
,,,,,,,,,,,,Honda Brio Satya E M/T 2015,BK1982UH,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 S At 2012,B2878UBC,Akseleran
,,,,,,,,,,,,Honda Odyssey 2.3L At 2002,B1831NIE,Modalku
,,,,,,,,,,,,Mini Cooper 1.6 Clubman At Cooper 1.6 Clubman At 2011,B2295SXY,Modalku
,,,,,,,,,,,,Toyota Grand New Veloz 1.5Mt 2019,H8509NS,Modalku
,,,,,,,,,,,,Toyota Kijang Innova Zenix 2.0 V Hv Cvt 2023,DK1128ACT,Modalku
,,,,,,,,,,,,Suzuki Swift St 1.5 A/T 2010,Z1137DA,Akseleran
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 M/T 2016,F1253NP,Modalku
,,,,,,,,,,,,Daihatsu Grand New Xenia 1.5 R Dlx 2022,B1418RKE,Modalku
,,,,,,,,,,,,Toyota Avanza Avanza G 1.3 Mt 2020,B1374JFA,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza E At 2019,B2590BYR,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 Exc 2021,DD1854UK,Modalku
,,,,,,,,,,,,Honda Jazz Idsi Mt 2007 Jazz Idsi Mt 2007 2007,F1765TI,Akseleran
,,,,,,,,,,,,"Honda Crv Re1 2Wd 2,4 At 2008",H8143MA,Modalku
,,,,,,,,,,,,Suzuki Grand Vitara Jlx 2.0 A/T 2008,B1011KCS,Akseleran
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2012,K1759CF,Modalku
,,,,,,,,,,,,Nissan March 1.2L At 2015,B2461TVI,Modalku
,,,,,,,,,,,,Toyota Harrier 2.4 At 2008,B2536STC,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G 2017,B1032FZU,Modalku
,,,,,,,,,,,,Honda Brio Satya E 1.2 Cvt 2024,BG1821FA,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 M/T 2011,B1416KKB,Akseleran
,,,,,,,,,,,,Suzuki Sx4 A/T 2009,L1901EO,Modalku
,,,,,,,,,,,,Honda Crv 2.0 At 2004 Crv 2.0 At 2004 2004,B1956KLT,Akseleran
,,,,,,,,,,,,Nissan Grand Livina 1.5 A/Tsv 2013,N1920ER,Akseleran
,,,,,,,,,,,,Suzuki Sl 410 R Karimun Minibus Karimun R 2003,D1087GJ,Modalku
,,,,,,,,,,,,Toyota Innova G A/T Diesel 2013,N1744ABM,Akseleran
,,,,,,,,,,,,Honda Honda Accord Vtil At 2004,L1027KO,Akseleran
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2020,B2955SRK,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gl A/T 2017,BP1025MA,Modalku
,,,,,,,,,,,,Nissan X-Trail 2.0 At Cvt 2010,H1487UA,Akseleran
,,,,,,,,,,,,Toyota Grand New Avanza E Mt 2016,BA1036OE,Modalku
,,,,,,,,,,,,"Honda Crv Re1 2Wd 2,4 At 2013",B1378BJI,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.0 M 2021,D1435YCF,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 J A/T 2010,S1016RH,Modalku
,,,,,,,,,,,,Toyota Grand New Veloz 1.5Mt 2020,BB1702BH,Modalku
,,,,,,,,,,,,Nissan Grand Livina 1.5 A/Tsv 2014,BM1611NP,Modalku
,,,,,,,,,,,,Toyota Innova V Luxury A/T 2012,B1857WFQ,Modalku
,,,,,,,,,,,,Suzuki Apv Gx 1.5 M/T 2012,B1343POK,Modalku
,,,,,,,,,,,,Toyota Vios G 1.5 Mt 2007,F1133GN,Modalku
,,,,,,,,,,,,Nissan Livina 1.5 A/T Xr 2010,B1080WFJ,Modalku
,,,,,,,,,,,,Suzuki Karimun Wgn R Ags Gs 2015,B1033EOM,Akseleran
,,,,,,,,,,,,Nissan Serena Highway2.0A/T 2014,B1725SIF,Akseleran
,,,,,,,,,,,,Toyota Vellfire 2.5 G At 2022,B2709KZY,Modalku
,,,,,,,,,,,,Nissan X-Trail 2.0 At Cvt 2010,B1028FFK,Modalku
,,,,,,,,,,,,Toyota Agya 1.0 G At 2015,F1709CM,Modalku
,,,,,,,,,,,,Toyota Avanza S Vvt-I A/T 2011,BP1664DR,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 Mt 2014,B1075WYD,Modalku
,,,,,,,,,,,,Honda Mobil Penumpang Odyssey 2.4 At 2005,H8581EE,Modalku
,,,,,,,,,,,,Toyota Alphard Alpahard 3.5 At 2010,B206WK,Modalku
,,,,,,,,,,,,Bmw 318I E46 M43 2004,A1646ZN,Modalku
,,,,,,,,,,,,Toyota Grand New Avanza E At 2017,B2322KGX,Modalku
,,,,,,,,,,,,Suzuki Ignis 1.2 Gx Ags 2017,B1292QW,Modalku
,,,,,,,,,,,,Nissan March 1.2L At 2013,B1021ZMC,Modalku
,,,,,,,,,,,,Honda Jazz 1.5 E A/T 2009,B2750STD,Modalku
,,,,,,,,,,,,"Honda New Jazz S 1,5 M/T 2008",BG1079VY,Modalku
,,,,,,,,,,,,Nissan Almera Almera At 2013,BP1605VD,Modalku
,,,,,,,,,,,,Toyota Yaris 1.5 E Mt 2010,N1675LC,Modalku
,,,,,,,,,,,,Toyota Camry G 2.4 A/T 2008,N1533SU,Akseleran
,,,,,,,,,,,,Honda Jazz Rs At 2008,B2058WBC,Modalku
,,,,,,,,,,,,Volkswagen Minibus Caravelle 2.0Tdi 2012,B1811DG,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 Mt 2014,F1466KW,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2013,B1651WMT,Akseleran
,,,,,,,,,,,,Toyota Rush G Vvti 1.5 A/T 2013,B1452BRP,Modalku
,,,,,,,,,,,,Toyota Vios G A/T 2010,B1146SAF,Modalku
,,,,,,,,,,,,Honda Accord Vti L 2.4 A/T 2008,W1408QJ,Modalku
,,,,,,,,,,,,Mitsubishi Outlander Px A/T 2016,N1990ZH,Akseleran
,,,,,,,,,,,,Honda Crv Re1 2Wd 2.0Atckd 2011,B1854PJC,Modalku
,,,,,,,,,,,,Daihatsu Ayla 1.2 X 2021,A1206WF,Modalku
,,,,,,,,,,,,Toyota New Yaris 1.5S.L/Attrd 2014,B1970KZX,Modalku
,,,,,,,,,,,,Mitsubishi Pajero 3.0 V6 At 2008,B1355FCS,Modalku
,,,,,,,,,,,,Mercedez Benz Glc300 4Mcp At Sunroof 2022,B2826JX,Modalku
,,,,,,,,,,,,Toyota New Avanza G 1.3 At 2013,A1887WT,Modalku
,,,,,,,,,,,,Honda New Jazz Rs 1.5 A/T 2014,B1562EYS,Modalku
,,,,,,,,,,,,Mazda Cx - 9 At Cx - 9 At 2009,B1451SCZ,Akseleran
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2022,N1594MH,Akseleran
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2020,N1784HM,Akseleran
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2011,L1147VK,Modalku
,,,,,,,,,,,,Toyota Agya 1.2 G Trd 2021,BP1453OE,Modalku
,,,,,,,,,,,,Mitsubishi Xpander 1.5 Exc 2018,L1618ACW,Modalku
,,,,,,,,,,,,Daihatsu Sigra 1.2 R Dlx Mc 2022,B2541KII,Modalku
,,,,,,,,,,,,Toyota Fortuner 2.4 Vrz 4X2 At 2017,A1848WN,Modalku
,,,,,,,,,,,,Toyota Innova E At 2013,B1459KOJ,Modalku
,,,,,,,,,,,,Toyota Calya 1.2 G At 2016,H1608QH,Akseleran
,,,,,,,,,,,,Honda Brio Satya E M/T 2021,G1031VG,Modalku
,,,,,,,,,,,,Nissan Navara Frontier 4'X4 At 2009,B9296MX,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2011,AD1362JV,Modalku
,,,,,,,,,,,,Nissan March 1.2L At 2013,B1505ZMM,Akseleran
,,,,,,,,,,,,Honda New City Idsi M/T 2012,BK1986ZY,Modalku
,,,,,,,,,,,,Honda Civic Fd2 2.0 At 2007,H1663AW,Modalku
,,,,,,,,,,,,Toyota Innova G M/T Bensin 2019,B2015KOH,Modalku
,,,,,,,,,,,,Honda All New Crv Prestge At 2016,AD1145EH,Modalku
,,,,,,,,,,,,Honda Freed E 1.5 A/T 2010,B1776NFQ,Modalku
,,,,,,,,,,,,Suzuki Suv Grand Vitara Jlx 2Wd At 2007,E1348QG,Modalku
,,,,,,,,,,,,Honda Brio Satya 1.2 E Cvt 2019,B2243FFA,Modalku
,,,,,,,,,,,,Toyota Rush S Vvti 1.5 A/T 2008,B1243JVE,Modalku
,,,,,,,,,,,,Toyota Sienta 1.5 G 2017,B2273TOW,Modalku
,,,,,,,,,,,,Daihatsu Terios Tx At Mc 2012,B1232JVE,Modalku
,,,,,,,,,,,,Suzuki Neo Baleno 1.5 M/T 2008,BG1704UK,Modalku
,,,,,,,,,,,,Honda Minubus Honda Jazz Gd3 1.5 A/T Vti 2007,BP1990FW,Modalku
,,,,,,,,,,,,Toyota Innova G M/T Diesel 2019,B2064SIP,Modalku
,,,,,,,,,,,,Suzuki Karimun Wagon R Gl Mt 2019,BK1833PN,Modalku
,,,,,,,,,,,,Suzuki Ertiga Gx A/T 2018,F1645DF,Modalku
,,,,,,,,,,,,"Ford Ecosprt Ttnm 1,5L At 2014",B2745KGX,Modalku
,,,,,,,,,,,,Suzuki Splash Gl Mt 2011,B1938TOE,Modalku
,,,,,,,,,,,,Daihatsu Xenia F 600 Mt 2006,B2657SQ,Modalku
,,,,,,,,,,,,Hyundai H1 Xg 2.4 A/T 2010,B1171UKG,Modalku
,,,,,,,,,,,,Toyota Avanza G 1.3 Mt Toyota Avanza G 1.3 Mt Toyota Avanza G 1.3 Mt 2007,F1856GK,Akseleran
,,,,,,,,,,,,Toyota Innova G A/T Bensin 2010,BP1285DN,Modalku
,,,,,,,,,,,,Honda Brio Satya E M/T 2015,AE1504RY,Modalku
,,,,,,,,,,,,Toyota New Avanza E 1.3 Mt 2018,B2710SYO,Modalku
